Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,"$62,500 /yr (est.)","Job description
Orada Tech: IT Solutions is an IT Consulting Company, and is looking for motivated and professional technicians that are vaccinatedand willing to work in order to provide corporate-level IT tasks. Opportunities and other projects may be provided to you after said worker has proved themselves as professionally competent.
We are looking for someone who is interested in a long term role as this is a long term position. That being said there will be opportunities for benefits, retention pay, and pay raises upon a successful hire and merit.",-1,Orada Technology Solutions,"Chandler, AZ",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,"$77,946 /yr (est.)","We’re on a mission to make behavioral health more available and accessible. We're backed by a16Z, YCombinator, Craft, and many others to make this dream a reality.

-

Building an inclusive culture is one of our core tenets as a company. We’re very aware of the structural inequalities that exist, and recognize that underrepresented minorities are less likely to apply for a role if they don’t think they meet all of the requirements. If that’s you and you’re reading this, we’d like to encourage you to apply regardless — we’d love to get to know you and see if there’s a place for you here!

-",1.0,"Juniper Solutions, Inc.","New York, NY",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst,"$95,000 /yr (est.)","We are looking for a master data analyst to help monitor our data and make better business decisions using information from our available data. Your task is to gather and prepare data from multiple sources, run statistical analyses, and communicate your findings in a clear and objective way.
You will be responsible for developing governance processes to ensure data integrity for all data sources that feed into the ERP system. Additionally, the successful candidate will partner with the IT team to build a custom solution that will be used across the enterprise.
Responsibilities",-1,Launching Point,Remote,1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst,$62.50 /hr (est.),"Job Title : Data/Business Analyst
Location : Charlotte, NC/ Jersey City, NJ
Duration : 12 months contract with possible extension
Description :
As a Data/Business Analyst, candidate will be expected to help the team craft data solutions to meet business and enterprise requirements using SQL and ETL Tools to enhance and support a Data Warehouse in a Capital Markets Domain.
The candidate may help manage progress based on consistent Software Development Lifecycle (SDLC) processes leveraging Agile and SAFE methodologies. They may also drive project risks and issues to resolution to minimize project impact while ensuring compliance to standards and providing end-to-end visibility into the health of the deliverables. This role will be required to work closely with the project developers and architects across multiple projects/work-streams at the same time.",-1,avansait,"Charlotte, NC",501 to 1000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,"$75,000 /yr (est.)","Pulse Mission To bring the message of Jesus to the pulse of a generation by all means possible
The Data Analyst will support the mission of Pulse through the collection, usage, and analysis of data across multiple systems, with a priority to support our Donor Ministries team. In addition to the management and function of current processes and systems, this role will also look to advance, refine, and improve those processes, systems, and procedures. This position will also support the Pulse fundraising goals and donor stewardship by engaging in the ongoing and detailed evaluation and usage of Salesforce data quality, while delivering and improving necessary reporting, primarily in Microsoft Excel and Salesforce.com environments.",3.3,Pulse,"Minneapolis, MN",1 to 50 Employees,2006,Nonprofit Organization,Religious Institutions,Nonprofit & NGO,Unknown / Non-Applicable
Data Analyst,$52.50 /hr (est.),"key skills:
5+ years of experience in data mapping techniques.
3+ years of strong experience Working with GCP, and its native cloud services will be an added advantage.
Working knowledge of Reporting technologies like Power BI, Watch, and Looker is an added advantage.
Cloud certifications (good to have)
Job Type: Contract
Salary: $50.00 - $55.00 per hour
Schedule:",4.7,Fuge Technologies Inc,Remote,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Lead Data Analyst,$62.50 /hr (est.),"Role: Lead I - Data Analysis
Location: Remote
_Must Have SKILLS: Agile Methodology,Sql Database,Data Analysis
_
RESPONSIBILITIES/TASKS:
Works through various project phases from ideation to defining scope & planning. • Collaborates with market-facing stakeholders and internal system users to understand and document software product user needs including “as is” and “to be” states. • Authors user stories with process flows, mockups, and acceptance criteria in requirements tracking system. • Translates complex requirements from user needs to the development team in an Agile Scrum environment. • Provides IT application support, research of software defects, trouble-shooting, and defining solutions for defects. • Performs verification and UAT testing, including creation of test plans, test scripts and coordination of UAT testing with business users. • Utilizes presentation and interpersonal skills to train end users and communicate program progress cross-functionally and to leadership teams. • Performs Release validation. This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required.",4.0,ERPMark Inc,Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD)
Data Analyst,"$67,863 /yr (est.)","Data Analyst

We are leaders in Finance as a Service (FaaS) industry. Through our Easby platform we bring the People, Process, and Technology together into a Finance, Accounting and Tax solution for small to mid-sized businesses. Our clients come from variety of industries including government contracting, not-for-profit, and commercial clients including professional services, healthcare, technology, and international firms.

ROSE adds value to its clients by utilizing a unique combination of Best People, Best Practices, and Best Systems. Our mission is to help our clients succeed by ensuring that they have a solid financial infrastructure and providing them with timely, accurate, and meaningful financial information to guide them towards achieving their goals. What ROSE is looking for: A proactive, disciplined and aspiring leader with strong leadership, communication, management, and technical competencies. Candidates also thrive while meeting challenging deadlines, enjoy problem solving, and aspire to continually grow within the company. The ideal candidate is looking to transition into a great firm that offers a long-term career opportunity.",4.6,Rose Financial Solutions LLC,"North Bethesda, MD",51 to 200 Employees,1994,Private Practice / Firm,Accounting & Tax,Financial Services,$5 to $25 million (USD)
Data Analyst,$55.00 /hr (est.),"Data Analyst/Modeler
Location – CO: BROOMFIELD - 1025 ELDORADO BLVD, INTERLOCKEN 4000
Description:
Develops data models to meet the needs of the organization's information systems.
Manages the flow of information between departments through the use of relational databases.
Maintains data integrity by working to eliminate redundancy.",4.3,CT Solutions,"Broomfield, CO",51 to 200 Employees,-1,Company - Private,Beauty & Wellness,Personal Consumer Services,Less than $1 million (USD)
Data Analyst,"$51,000 /yr (est.)","Job Title: Data Analyst
Reports to: Senior Director of Quality & Training
Position Classification: Exempt
Wage: $47,000 to $55,000 a year
EXPERIENCE EXTREME CUSTOMER SERVICE
About the Company
Dynamic Workforce Solutions (DWFS) contracts with state and local entities to provide services that offer the communities we serve reliable workforce development and training solutions that result in talented, well-trained people positioned for tomorrow's jobs. Our innovative approach to delivering services, passion for the work we do and commitment to ongoing quality have defined over three decades of exceptional results.",2.3,Dynamic Workforce Solutions,Remote,Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Junior Data Analyst,"$57,500 /yr (est.)","About Blue Water Thinking
Guided by our principles of value generation, continuous innovation, customer-centricity, and vested collaboration, Blue Water Thinking proudly supports our Federal clients in achieving their Agency goals.
Founded by a decorated twenty-eight year Veteran of the United States Army, Blue Water Thinking understands and supports the mission of our Nation's war fighters, Veterans, their families and caretakers.
Leveraging our executive team's military experience and private and public sector consulting expertise, Blue Water Thinking takes an integrated ""one-team"" approach and brings to bear best-fit solutions, thought leadership, and grit to meet our client's transformational needs.",3.5,Blue Water Thinking,United States,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Data Analyst,"$70,000 /yr (est.)","Become a leader in one of the most sought-after industries in the country from your home!
ClaimReturn, industry leader in artificial intelligence-driven, cost-recovery healthcare, is hiring for an experienced data analyst within our rapidly growing virtual, phone-based revenue recovery operations.
The Data Analyst is responsible for interpreting data, analyzing results using statistical techniques and providing ongoing reports. This role identifies, analyzes, and interprets trends, patterns or outliers in complex data sets to ensure work is connected to business objectives, delivered on time, and focused on outcomes. Experience with statistics and statistical packages for analyzing datasets required. Adept at queries, reporting writing, and presenting findings essential.",3.3,ClaimReturn LLC,Remote,Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Jr. Data Analyst,"$48,920 /yr (est.)","At Gulf Coast Health Center, Inc., we rely on our IT System’s data analytic tools to process and interpret data, turning it into information thus affecting business decisions. We are seeking a Data Analyst who is analytical and skilled in aspects of data analytics, including mining, generation, and visualization. In this role, the successful individual will be committed to transforming data into readable, goal‐oriented reports that drive innovation and growth. From early on, the Data Analyst responsibilities will be collecting, organizing, cleaning data sets, and generating reports to create dashboards. Our ideal hire will be able to operate in a systematic and scalable manner, preparing reports for management stating trends, patterns, and predictions using relevant data.",3.4,"Gulf Coast Health Center, Inc.","Port Arthur, TX",Unknown,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Analyst,"$72,034 /yr (est.)","Edera L3C is a fast-growing healthcare innovation consultancy that addresses today's issues and helps create tomorrow's solutions by connecting the brightest minds in healthcare. Our L3C designation means we are a ""purpose before profit"" social enterprise venture. We concentrate on a socially beneficial mission to transform organizations rather than being driven to maximize income; profits beyond our business sustainability goals are reinvested into communities or clients.
Our team of management, technology, and creative services consultants work collaboratively with industry experts who bring deep experience and expertise to create transformational business solutions. We believe complex challenges and multi-faceted opportunities call for multi-disciplinary approaches and that is how we work. We bring industry best practices from the private sector to government and from government to the private sector to transform healthcare. We work with both public and private sector clients.",-1,Edera,"Washington, DC",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,"$67,500 /yr (est.)","Database Analyst
Work with the industry leader
Progressive Hydraulics, Inc.(PHI) is a family-owned and operated business with an established historyin Hydraulics for over 50 years. PHI is the leading Premier Full Line Parker® Distributor in NY, NJ and CT with ParkerStore™ locationsthroughout the Tri-State area.
We’re growing fast, and looking for a fastidious, analytical and adept person to join our team as a Data Analyst in our Saddle Brook, NJ office.
How we help you make the most of your skills",-1,Progressive Hydraulics Inc.,"Saddle Brook, NJ",-1,-1,-1,-1,-1,-1
PT Data Analyst,$50.00 /hr (est.),"This position will provide analytical support to the Chair, faculty, and staff of the MS Physician Assistant Pleasantville Program by collecting, analyzing and reporting data for assessment and accreditation.

Position Duties
Assisting with the extraction, compiling, and coding of data from survey results.
Reviewing data sets, identifying key data points, and compiling associated reports.
Completing data tables and other requests for information.",4.1,Pace University,"Pleasantville, NY",5001 to 10000 Employees,1948,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Data Analyst 2 - Remote,"$100,450 /yr (est.)","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start Caring. Connecting. Growing together.

The Data Analyst II within the Enterprise Reporting and Analysis team supports internal clients by maintaining, developing and optimizing data infrastructure, and produces reporting. You’ll be empowered to drive efficiencies supporting data migrations and new reporting functionality, while acting as a consultant business owner ensuring they get the most meaningful information out of their data.",-1,UnitedHealthcare,"Eden Prairie, MN",10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Analyst,$30.00 /hr (est.),"The Medicine, Science, Technology, Engineering, and Mathematics Scholars Trained in Aging Research (MSTEM STAR) program seeks an experienced person for data collection, data analysis, and writing reports for the annual MSTEM STAR program evaluation.
Please be aware that funding for this position is awarded through a Grant/Contract over a specified period. Employment for this position beyond current Grant/Contract funding is contingent upon continued funding or new Grant/Contract.
Essential Duties
Coordinate data collection efforts with other members of the MSTEAM STAR assessment team and collect data from multiple sources.",3.5,CSU Fullerton Auxiliary Services,"Fullerton, CA",1001 to 5000 Employees,1959,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD)
Data Analyst,"$90,000 /yr (est.)","Decision Science is seeking a Data Analyst to own and improve vital parts of our data operations process, assist with new product vertical development and deployment, and champion data process optimization efforts. The ideal candidate will be a self-motivated individual able to operate in an often ambiguous environment.
Key responsibilities will include:
Working with CEO to operate and maintain our data model scoring service
Optimizing workflows within data model scoring service
Working with CDO to manage data throughput from source data ingestion to data analytics table creation",-1,Decision Science LLC,"Newburyport, MA",-1,-1,-1,-1,-1,-1
Sr. Data Analyst,"$78,339 /yr (est.)","Join a team of the top 1%.

We believe in attracting and retaining the brightest technical minds from diverse backgrounds and nationalities to come together and create an enriched pool of global talent. Recognized as one of North America's fastest-growing companies, we aim to attract people who are passionate about technology and creating a real impact while working in collaborative environment with the latest technologies.

Our mission is to solve our client's most complex digital challenges by engaging the brightest of technical minds. We are looking for candidates who thrive in an innovative and collaborative environment who love solving problems and having fun while doing it.",3.9,Accolite Digital,"Newark, DE",1001 to 5000 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
Junior Data Analyst,$23.50 /hr (est.),"The Junior Analyst plays a vital role within our Data Analytics Department, collaborating with the colleagues and vendors to import, cleanse, transform, validate, aggregate, and analyze data from diverse sources. This position focuses on drawing conclusions about agency trends, best practices, and behavioral health outcomes to support data-driven decision-making. The Junior Analyst also contributes to the creation of presentations, graphics, and reports that effectively communicate data insights. Additionally, they assist in ensuring data quality, develop data visualizations, conduct exploratory analysis, and support research initiatives. The Junior Analyst actively collaborates with program staff, keeps up-to-date with industry best practices, and promotes a culture of evidence-based decision-making. This role requires adherence to data privacy and security protocols, as well as the ability to maintain effective work relationships and possess excellent communication skills.",2.8,CASA-Trinity,"Elmira, NY",201 to 500 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,"$74,248 /yr (est.)","At AES, we raise the quality of life around the world by changing the way energy works. Everyone makes an impact every day in our small, global teams. Apply here to start an extraordinary career today.
Job Family and Group: Customer Service
Reports to: Customer Analytics Team Leader
Location: Indianapolis, IN OR Dayton, OH
The Customer Analytics Advisor is a new position within Customer Care to enhance our ability to deliver customer centered decision making. This position will deliver advanced data analytics to inform decision making and create visibility to customer needs. This position will support both current efforts and future efforts in the evaluation of programs, customer support, opportunities and advancements in our customer experience. Customers are the future of energy, this position is pivotal in advancing our ability to ensure forward making progress in becoming an exceptional utility.
AES is an Equal Opportunity Employer who is committed to building strength and delivering long-term sustainability through diversity and inclusion. Respecting all backgrounds, differences and perspectives enables us to improve the lives of our people, customers, suppliers, contractors, and the communities in which we live and work. All qualified applicants will receive consideration for employment without regard to sex, sexual orientation, gender, gender identity and/or expression, race, national origin, ethnicity, age, religion, marital status, physical or mental disability, pregnancy, childbirth, or related medical condition, military or veteran status, or any other characteristic protected under applicable law. E-Verify Notice: AES will provide the Social Security Administration (SSA) and if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.",4.2,The AES Corporation,"Dayton, OH",5001 to 10000 Employees,1981,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Data Analyst- CIN,"$67,182 /yr (est.)","Position Overview
The Business Analyst will be a member of the Stony Brook Medicine?s CIN Population Health IT Team. The candidate will work with end users to understand their clinical and business workflows, document use cases, functional requirements and develop data analytics that will be used to support the daily operations of our Clinically Integrated Network.
This candidate will work in a fast-paced environment as part of a multi-disciplinary project team responsible for ensuring the ongoing management and improvements on the Population Health platform required for tracking and reporting on the quality and performance measures programs.",4.0,"SB ADMINISTRATIVE SERVICES, LLC","Commack, NY",10000+ Employees,1957,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Data Analyst,$56.00 /hr (est.),"ETL Data Analyst/Quality Analyst (with Informatica/Teradata MDM Exp)
Location : Springfield, ILContract (Hybrid Role)
Duration : Long Term
Candidate must ready to relocate to client location
Required Qualifications:
Demonstrable experience on a number of data related projects. This needs to include significant experience on Master Data Management, data architecture design, data mapping, data quality assessment and information governance",-1,"DATAMAXIS, Inc","Springfield, IL",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst I or II,"$89,228 /yr (est.)","As a Data Analyst you will be responsible for collaborating with leadership to identify data analytics opportunities, and to design, develop and deliver reports, dashboards and analytical projects. You will design innovative analytic approaches to test hypotheses, extract actionable insights by identifying patterns in structured and unstructured data, and develop recommendations to drive business performance. You will be instrumental in leading the use of analytics as a critical value driver across our organization.
Position Requirements
Bachelor’s Degree from a four-year college or university; or ten (10) years of progressive experience with the implementation, operation, programming and development of data and business intelligence solutions, or an equivalent in a related field, or the equivalent combination of training, education and experience.",2.6,Northrop Grumman Federal Credi,"Gardena, CA",51 to 200 Employees,1946,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD)
Senior Data Analyst,$73.38 /hr (est.),"Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems",-1,Rackera Inc,"San Jose, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,$72.50 /hr (est.),"Job Title: Staff Data Analyst
Location: Hoboken, NJ, Seattle WA or Sunnyvale CA
Job Description:
-Work with the stakeholders to understand the business & reporting needs
– Propose, design and develop creative dashboard
solutions that provides required insight, improve/automate processes.
-Build and maintain data pipelines and architecture specific to
analytics.
-Build reports and dashboards.
-Provide technical expertise in areas of architecture, design, and
implementation.
-Build and maintain complex dashboard reports for scalability,
manageability, extensibility, performance, and re-use.
-Influence and educate the team with your experience, idea and learning.",-1,reach2connect,"Hoboken, NJ",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
SQL Data Analyst,$47.50 /hr (est.),"Subcon :: Data Metrics and Reporting analyst :: Denver, CLocation : Denver, CO
Skills, Experience and Requirements
· 5+ years of experience as a Data Analyst
· Strong experience with SQL and Excel required
· Experience with Python/R and Power BIin a business environment required
Job Type: Contract",-1,NLB Technology Services,"Denver, CO",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Research Data Analyst,"$70,608 /yr (est.)","Overview:
Housed at Princeton University, Arab Barometer is a nonpartisan research network that provides insight into the social, political, and economic attitudes and values of citizens across the Middle East and North Africa (MENA). We have been conducting high quality and reliable public opinion surveys since 2006, making us the longest-standing and the largest repository of publicly available data on the views of citizens in the region.

The Research Data Analyst for the Arab Barometer reports to the Senior Research Specialist. The Data Analyst assists with the maintenance and development of scripts in, but not restricted to, ODK, R, and Stata related to collecting and processing Arab Barometer data. During the data collection phase, this includes programming the questionnaire, validating the programming, quality control checks on data, data cleaning, and management of Arab Barometer survey data. The position also assists in data analysis for research projects including modeling, diagnostics, and graphic visualization for reports, articles and other publications.


Responsibilities:
Qualifications:

Standard Weekly Hours: 36.25 Eligible for Overtime: Yes Benefits Eligible: Yes Probationary Period: 90 days Essential Services Personnel (see policy for detail): No Comments Related to End Date: 1 year term position with possibility of renewal Physical Capacity Exam Required: No Valid Driver’s License Required: No : #LI-CN1",4.5,Princeton University,"Princeton, NJ",5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Data Analyst - Hybrid - Entry Level,"$67,500 /yr (est.)","Summary
Position Summary:

Rocktop Technologies is a financial technology and services company that is seeking a Junior Data Analyst looking to make an impact. It is a very exciting time for Rocktop as we expand our already very talented team with an acute focus on innovation. We offer an independent and agile environment with ample opportunities in a company with a growth driven mindset. Rocktop thrives on our vision of a future where forward-thinkers in finance contribute to the accelerated growth in an industry starving for disruption

As a Junior Data Analyst, you will help in exploring and examining data from disparate sources with the goal of discovering patterns and insights that can address business problems. You will assist with analyzing business level data to produce actionable insights utilizing analytic tools and programming languages; and you will solve problems for internal business users by automation of processes through tasks, workflows and creating reporting for management.",-1,"Rocktop Technologies, LLC","Irving, TX",Unknown,-1,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
Data Analyst,"$90,000 /yr (est.)","Data Analyst

Supports the development process for creating new data feeds and modifying existing data feeds.
Analyzes existing data dictionaries at CDC and data harmonization needs using statistical techniques to identify patterns and relationships utilizing tools such as Excel, R, and Tableau and makes recommendations.
Visualizes data insights using charts, graphs, and dashboards to communicate findings to stakeholders.",4.0,"Global Enterprise Services, LLC","Atlanta, GA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
(Remote) Marketing Data Analyst,"$95,000 /yr (est.)","If you're searching for a full-time, permanent work-at-home career, we’ve got an opportunity for you to join our fast-growing team! H-1B Visa Sponsorship Not Available, W2 only.
WebstaurantStore, the world’s largest online restaurant supply company, is hiring a Marketing Data Analyst to join our data-driven marketing team. This role is meant for a curious, data-driven, and creative individual who can enhance our team’s skill set. Specifically, we need an individual who can help with advanced marketing challenges. This candidate for this role needs to have experience in stats, programming and building models.
Our team is based out of Tampa, FL and Lititz, PA, but this position has the option to work remotely.",4.1,Clark Associates,"Lititz, PA",1001 to 5000 Employees,1971,Company - Private,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD)
Data Analyst,"$68,900 /yr (est.)","Job Description
Job Description
Analyzes, verifies, tracks and reports on department related databases and software. Serves as a liaison between department’s analytical needs and technical data storage systems and files; collaborates with stakeholders to document requirements for reporting. Develop analytic reports and dashboards utilizing various databases and third party data files.
Job Responsibility
Analyzes, verifies, tracks and reports on department related databases and software.



The salary range and/or hourly rate listed is a good faith determination of potential base compensation that may be offered to a successful applicant for this position at the time of this job advertisement and may be modified in the future.When determining a team member's base salary and/or rate, several factors may be considered as applicable (e.g., location, specialty, service line, years of relevant experience, education, credentials, negotiated contracts, budget and internal equity).",4.0,Northwell Health,"Lake Success, NY",10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Analyst,"$57,711 /yr (est.)","JobID: 4506

Position Type:
Technology/Systems Analyst
Date Posted:
5/18/2023
Location:
District
Date Available:
07/01/2023

Attachment(s):",3.2,Joliet Township High School District 204,"Joliet, IL",501 to 1000 Employees,1880,School / School District,Primary & Secondary Schools,Education,$25 to $100 million (USD)
Data Analyst,"$71,473 /yr (est.)","Dallas, Texas | Contract

Position: Data Analyst
Location: Dallas, TX
Client: Direct Client
Duration: Long Term Contract

Responsibilities for Data Analyst
Work with clients to aid them in learning to self-serve for basic data needs (visualization, report building, minor ad-hoc querying).
Support the internal team of Product Managers, Developers, and Data Engineers in tracking down issues, building use cases, and optimizing solutions.",4.1,Anblicks,"Dallas, TX",501 to 1000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
Data Analyst,"$62,612 /yr (est.)","Job Description
The role of a Data Analyst is the last phase of the process of data within Silent Falcon. Due to being the last step before being presented to the client, it is heavily interlocked with various departments and requires flexible skillsets and creative problem-solving.
About the Job

We’re looking for a Data Analyst! Our software and data pipelines have been built from the ground up, so if you are excited about collaborating in a high-performance team and implementing the latest advancements in Aviation to impact the future of geospatial analytics, then this opportunity could be an excellent fit for you.",4.2,Silent Falcon UAS Technologies,"Front Royal, VA",1 to 50 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Data Analyst,$21.37 /hr (est.),"JOB SUMMARY:
The Data Analyst (DA) is responsible for ongoing data analysis and synthesizing business intelligence information to support recommendations for action. The DA maintains a library of model documents, templates, and other reusable knowledge assets to ensure management and staff has actionable data insights that is consistent and reliable.

ESSENTIAL FUNCTIONS:
Monitors, collects, analyzes, and interprets workforce data to support workforce goals.",-1,C2 GPS- Southeast Texas,"Port Arthur, TX",-1,-1,-1,-1,-1,-1
